Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Relaxed,Euphoric,Happy,Uplifted,Giggly,width:100%,width:98%,width:67%,width:66%,width:54%,1. Earthy,2. Woody,3. Pine,Snp,Stress,Pain,Insomnia,Inflammation,Depression,width:100%,width:98%,width:92%,width:87%,width:23%,Snow Leopard,Dry Eyes,Dry Mouth,Dizzy,Paranoid,Anxious,width:100%,width:14%,width:7%,width:4%,width:2%,49,4.6,Indica
Relaxed,Euphoric,Happy,Uplifted,Talkative,width:100%,width:74%,width:72%,width:68%,width:38%,1. Earthy,2. Lemon,3. Chemical,Slt,Depression,Fatigue,Insomnia,Stress,Pain,width:100%,width:80%,width:70%,width:59%,width:49%,Snow Lotus,Anxious,Dizzy,Dry Mouth,,,width:100%,width:100%,width:100%,,,28,4.6,Hybrid
Relaxed,Sleepy,Happy,Giggly,Euphoric,width:100%,width:90%,width:89%,width:52%,width:51%,1. Earthy,2. Sweet,3. Blue Cheese,Snm,Pain,Insomnia,Stress,Depression,Inflammation,width:100%,width:98%,width:87%,width:52%,width:47%,Snow Monster,Dry Mouth,Dry Eyes,Dizzy,Anxious,,width:100%,width:18%,width:8%,width:1%,,34,4.5,Indica
Relaxed,Sleepy,Uplifted,Euphoric,,width:100%,width:85%,width:42%,width:28%,,1. Flowery,,,Smt,Inflammation,Insomnia,Muscle Spasms,Pain,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Snow Mountain,Dry Mouth,,,,,width:100%,,,,,3,4.7,Indica
Aroused,Relaxed,Sleepy,Uplifted,,width:100%,width:100%,width:100%,width:100%,,1. Earthy,2. Mint,3. Pepper,Sry,Depression,Insomnia,Muscle Spasms,Stress,,width:100%,width:100%,width:100%,width:100%,,Snow Ryder,Dizzy,,,,,width:100%,,,,,1,4.0,Indica
Relaxed,Uplifted,Happy,Giggly,Euphoric,width:100%,width:84%,width:81%,width:62%,width:48%,1. Earthy,2. Woody,3. Sweet,Snw,Depression,Stress,Pain,Nausea,Fatigue,width:100%,width:92%,width:51%,width:47%,width:41%,Snow White,Dry Mouth,Headache,Dry Eyes,Dizzy,Paranoid,width:100%,width:15%,width:8%,width:4%,width:1%,150,4.3,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Hungry,width:100%,width:69%,width:61%,width:58%,width:40%,1. Lemon,2. Earthy,3. Woody,Swl,Stress,Nausea,Headaches,Cramps,Fatigue,width:100%,width:72%,width:68%,width:65%,width:54%,SnowLAnd,Dizzy,Dry Mouth,Dry Eyes,Anxious,Paranoid,width:100%,width:74%,width:39%,width:14%,width:14%,42,4.7,Hybrid
Relaxed,Happy,Creative,Uplifted,Energetic,width:100%,width:97%,width:93%,width:86%,width:81%,1. Lemon,2. Citrus,3. Earthy,Sno,Stress,Pain,Depression,Inflammation,Fatigue,width:100%,width:64%,width:61%,width:35%,width:33%,Snowcap,Dry Mouth,Dry Eyes,Paranoid,Anxious,Headache,width:100%,width:53%,width:51%,width:45%,width:27%,489,4.1,Hybrid
Uplifted,Energetic,Relaxed,Euphoric,Focused,width:100%,width:89%,width:86%,width:83%,width:83%,1. Flowery,2. Citrus,3. Lemon,Sjh,Fatigue,Stress,Depression,Lack of Appetite,Nausea,width:100%,width:99%,width:79%,width:45%,width:42%,Sojay Haze,Anxious,Dry Mouth,Dry Eyes,Headache,Paranoid,width:100%,width:84%,width:47%,width:8%,width:6%,58,4.6,Sativa
,,,,,,,,,,,,,Sol,,,,,,,,,,,Solo’s Stash,,,,,,,,,,,,,Hybrid
Relaxed,Happy,Focused,Uplifted,Creative,width:100%,width:93%,width:75%,width:73%,width:65%,1. Tropical,2. Berry,3. Mango,Som,Lack of Appetite,Stress,Pain,Insomnia,Depression,width:100%,width:79%,width:70%,width:63%,width:45%,Somango,Dry Mouth,Dizzy,Dry Eyes,Headache,Anxious,width:100%,width:40%,width:24%,width:6%,width:1%,129,4.4,Indica
Creative,Hungry,Uplifted,Happy,Euphoric,width:100%,width:84%,width:74%,width:63%,width:61%,1. Citrus,2. Spicy/Herbal,3. Pungent,Sos,Depression,Fatigue,Stress,Pain,Cramps,width:100%,width:94%,width:21%,width:16%,width:5%,Sonic Screwdriver,Dry Mouth,Anxious,Dizzy,Dry Eyes,,width:100%,width:16%,width:0%,width:0%,,20,4.6,Sativa
Energetic,Relaxed,Happy,Hungry,Sleepy,width:100%,width:100%,width:87%,width:85%,width:84%,,,,Soc,Depression,Stress,Fatigue,Insomnia,Inflammation,width:100%,width:100%,width:83%,width:73%,width:70%,Sonoma Coma,Paranoid,Dry Mouth,Dry Eyes,Dizzy,Headache,width:100%,width:24%,width:19%,width:1%,width:0%,27,4.4,Sativa
,,,,,,,,,,,,,Sya,,,,,,,,,,,Soraya,,,,,,,,,,,,,Hybrid
,,,,,,,,,,,,,Sb4,,,,,,,,,,,Sorbet #4,,,,,,,,,,,1,5.0,Hybrid
,,,,,,,,,,,,,Sed,,,,,,,,,,,Sorbet Dreams,,,,,,,,,,,1,5.0,Hybrid
,,,,,,,,,,,,,Sr,,,,,,,,,,,Sorbet Stash,,,,,,,,,,,1,5.0,Hybrid
Relaxed,Uplifted,Tingly,Happy,Focused,width:100%,width:100%,width:90%,width:54%,width:45%,,,,Srt,Inflammation,Lack of Appetite,Muscle Spasms,Eye Pressure,Nausea,width:100%,width:83%,width:83%,width:16%,width:16%,Sorbetto,,,,,,,,,,,3,4.7,Hybrid
Focused,Tingly,Aroused,Energetic,Giggly,width:100%,width:100%,width:50%,width:50%,width:50%,1. Sweet,2. Tropical,,Sor,Muscle Spasms,Spasticity,Stress,,,width:100%,width:100%,width:100%,,,Sorcerer’s Apprentice,Dry Eyes,Dry Mouth,Dizzy,,,width:100%,width:100%,width:50%,,,2,5.0,Hybrid
Hungry,Relaxed,Happy,Tingly,Talkative,width:100%,width:73%,width:71%,width:63%,width:45%,,,,Sao,Insomnia,Stress,Pain,Fatigue,Lack of Appetite,width:100%,width:68%,width:66%,width:54%,width:52%,Soul Assassin OG,Dry Mouth,Dizzy,Headache,Paranoid,Anxious,width:100%,width:95%,width:94%,width:81%,width:79%,41,4.4,Hybrid
Euphoric,Happy,Creative,Uplifted,Giggly,width:100%,width:63%,width:45%,width:27%,width:18%,,,,Sol,Stress,Pain,Muscle Spasms,Fatigue,Insomnia,width:100%,width:66%,width:33%,width:22%,width:22%,Soul Shine,Headache,,,,,width:100%,,,,,9,4.1,Hybrid
Happy,Uplifted,Relaxed,Hungry,Sleepy,width:100%,width:100%,width:100%,width:95%,width:90%,,,,Sah,Fatigue,Lack of Appetite,Pain,Stress,Cramps,width:100%,width:100%,width:100%,width:100%,width:92%,Soulshine Aloha,Dry Mouth,Dry Eyes,,,,width:100%,width:75%,,,,2,5.0,Indica
Relaxed,Happy,Uplifted,Euphoric,Focused,width:100%,width:36%,width:21%,width:21%,width:18%,1. Diesel,2. Pungent,3. Earthy,Sal,Pain,Stress,Lack of Appetite,Depression,Muscle Spasms,width:100%,width:98%,width:87%,width:87%,width:78%,Sour Alien,Dry Eyes,Dry Mouth,Dizzy,Anxious,Headache,width:100%,width:22%,width:3%,width:1%,width:1%,124,4.4,Hybrid
Euphoric,Creative,Uplifted,Happy,Energetic,width:100%,width:91%,width:82%,width:80%,width:66%,1. Diesel,2. Citrus,3. Pungent,Soa,Depression,Stress,Pain,Lack of Appetite,Fatigue,width:100%,width:81%,width:77%,width:40%,width:36%,Sour Amnesia,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:23%,width:19%,width:17%,width:1%,109,4.7,Sativa
Relaxed,Happy,Sleepy,Energetic,Euphoric,width:100%,width:94%,width:73%,width:21%,width:15%,1. Diesel,2. Sweet,3. Grape,Sra,Pain,Depression,Stress,Headaches,Lack of Appetite,width:100%,width:66%,width:66%,width:33%,width:33%,Sour Ape,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,12,4.2,Indica
Relaxed,Happy,Euphoric,Hungry,Uplifted,width:100%,width:99%,width:73%,width:69%,width:60%,1. Apple,2. Sweet,3. Earthy,Sa,Stress,Lack of Appetite,Depression,Pain,Inflammation,width:100%,width:49%,width:49%,width:39%,width:23%,Sour Apple,Dry Eyes,Dry Mouth,Paranoid,Dizzy,Headache,width:100%,width:64%,width:46%,width:11%,width:10%,221,4.3,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Tingly,width:100%,width:88%,width:82%,width:60%,width:47%,,,,Sbs,Stress,Depression,Lack of Appetite,Pain,Nausea,width:100%,width:82%,width:37%,width:34%,width:24%,Sour Banana Sherbet,Dry Mouth,Dry Eyes,Paranoid,Anxious,Dizzy,width:100%,width:20%,width:6%,width:6%,width:5%,159,4.7,Hybrid
Euphoric,Relaxed,Uplifted,Tingly,Energetic,width:100%,width:100%,width:100%,width:57%,width:52%,1. Blueberry,2. Pine,3. Berry,Sb,Nausea,Stress,Depression,Inflammation,Lack of Appetite,width:100%,width:100%,width:47%,width:23%,width:23%,Sour Blueberry,,,,,,,,,,,9,4.8,Hybrid
Aroused,Relaxed,,,,width:100%,width:100%,,,,,,,Sbe,Depression,Insomnia,Nausea,Pain,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Sour Boggle,Anxious,Dry Eyes,Paranoid,,,width:100%,width:100%,width:100%,,,,,Hybrid
Focused,Happy,Energetic,Creative,Uplifted,width:100%,width:85%,width:68%,width:57%,width:53%,1. Pine,2. Earthy,3. Woody,Sbh,Stress,Depression,Cramps,Eye Pressure,Pain,width:100%,width:77%,width:48%,width:48%,width:45%,Sour Breath,Anxious,Dry Eyes,Dry Mouth,Paranoid,,width:100%,width:82%,width:76%,width:50%,,17,4.2,Sativa
Euphoric,Happy,Relaxed,Uplifted,Sleepy,width:100%,width:85%,width:74%,width:60%,width:51%,1. Spicy/Herbal,2. Diesel,3. Sweet,Sob,Stress,Depression,Inflammation,Nausea,Insomnia,width:100%,width:100%,width:75%,width:67%,width:24%,Sour Bubba,Dry Mouth,Dry Eyes,,,,width:100%,width:77%,,,,29,4.7,Indica
Relaxed,Happy,Uplifted,Euphoric,Sleepy,width:100%,width:88%,width:59%,width:53%,width:40%,1. Sweet,2. Earthy,3. Pungent,Sbb,Depression,Pain,Stress,Insomnia,Fatigue,width:100%,width:47%,width:42%,width:34%,width:17%,Sour Bubble,Dry Mouth,Dizzy,Dry Eyes,Anxious,,width:100%,width:52%,width:52%,width:2%,,42,4.5,Indica
Uplifted,Euphoric,Happy,Relaxed,Focused,width:100%,width:88%,width:78%,width:61%,width:59%,1. Sweet,2. Earthy,3. Pine,Src,Depression,Fatigue,Lack of Appetite,Inflammation,Stress,width:100%,width:71%,width:71%,width:67%,width:56%,Sour Candy,Dry Mouth,Dry Eyes,Anxious,Dizzy,,width:100%,width:17%,width:5%,width:5%,,46,4.5,Hybrid
Creative,Relaxed,Energetic,Happy,Focused,width:100%,width:78%,width:70%,width:66%,width:61%,1. Cheese,2. Diesel,3. Skunk,Sou,Spasticity,Stress,Depression,Pain,Headaches,width:100%,width:80%,width:66%,width:56%,width:33%,Sour Cheese,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Headache,width:100%,width:54%,width:10%,width:7%,width:4%,119,4.3,Hybrid
Uplifted,Euphoric,Relaxed,Focused,Happy,width:100%,width:91%,width:87%,width:77%,width:66%,1. Lemon,2. Sweet,3. Diesel,Sys,Pain,Stress,Insomnia,Fatigue,Headaches,width:100%,width:88%,width:81%,width:76%,width:69%,Sour Cherry Sherbert,Dry Mouth,Paranoid,Dry Eyes,Headache,,width:100%,width:17%,width:13%,width:13%,,16,4.5,Hybrid
Uplifted,Creative,Sleepy,Happy,Energetic,width:100%,width:66%,width:66%,width:66%,width:50%,,,,Sch,Insomnia,Stress,Fatigue,Nausea,Pain,width:100%,width:80%,width:60%,width:40%,width:40%,Sour Chocolate,Dry Eyes,Dry Mouth,Headache,Dizzy,,width:100%,width:66%,width:66%,width:33%,,9,3.9,Sativa
Relaxed,Euphoric,Hungry,Creative,Happy,width:100%,width:85%,width:85%,width:85%,width:57%,1. Sweet,2. Earthy,3. Berry,Sck,Stress,Cramps,Depression,Headaches,Inflammation,width:100%,width:50%,width:50%,width:50%,width:50%,Sour Chunk,Dry Eyes,Dry Mouth,Anxious,Dizzy,Headache,width:100%,width:100%,width:50%,width:50%,width:50%,12,4.3,Hybrid
Relaxed,Uplifted,Euphoric,Happy,Giggly,width:100%,width:87%,width:86%,width:79%,width:64%,1. Diesel,2. Berry,3. Grape,Src,Depression,Pain,Insomnia,Stress,Fatigue,width:100%,width:76%,width:70%,width:44%,width:38%,Sour Cookies,Dry Mouth,Paranoid,Dry Eyes,Anxious,Dizzy,width:100%,width:74%,width:45%,width:20%,width:1%,92,4.5,Hybrid
Happy,Relaxed,Uplifted,Euphoric,Focused,width:100%,width:86%,width:76%,width:63%,width:58%,1. Diesel,2. Earthy,3. Sweet,Scr,Stress,Pain,Depression,Fatigue,Headaches,width:100%,width:87%,width:83%,width:45%,width:37%,Sour Cream,Dry Mouth,Dry Eyes,Dizzy,Anxious,Paranoid,width:100%,width:57%,width:23%,width:19%,width:14%,85,4.3,Hybrid
Happy,Uplifted,Energetic,Euphoric,Creative,width:100%,width:84%,width:82%,width:73%,width:60%,1. Diesel,2. Earthy,3. Pungent,Sd,Stress,Depression,Pain,Fatigue,Lack of Appetite,width:100%,width:92%,width:68%,width:52%,width:36%,Sour Diesel,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:53%,width:33%,width:30%,width:22%,7331,4.4,Sativa
Euphoric,Happy,Relaxed,Talkative,Uplifted,width:100%,width:83%,width:69%,width:67%,width:64%,1. Skunk,2. Berry,3. Woody,Sdr,Stress,Fatigue,Pain,Muscle Spasms,Inflammation,width:100%,width:85%,width:74%,width:68%,width:68%,Sour Dream,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:66%,width:30%,width:27%,width:21%,121,4.4,Hybrid
Energetic,Focused,Creative,Happy,Talkative,width:100%,width:29%,width:28%,width:20%,width:20%,1. Diesel,2. Woody,3. Spicy/Herbal,Sdb,Depression,Insomnia,Fatigue,Lack of Appetite,Pain,width:100%,width:90%,width:90%,width:85%,width:85%,Sour Dubble,Dry Mouth,Dry Eyes,Headache,,,width:100%,width:15%,width:5%,,,19,4.7,Hybrid
Creative,Uplifted,Energetic,Focused,Happy,width:100%,width:80%,width:79%,width:77%,width:76%,1. Earthy,2. Skunk,3. Citrus,Sf,Stress,Depression,Fatigue,Pain,Headaches,width:100%,width:81%,width:76%,width:15%,width:10%,Sour Flower,Dry Mouth,Dry Eyes,Dizzy,Anxious,,width:100%,width:69%,width:15%,width:7%,,40,4.3,Sativa
Relaxed,Happy,Uplifted,Euphoric,Talkative,width:100%,width:87%,width:79%,width:72%,width:59%,1. Grape,2. Earthy,3. Sweet,Sgr,Stress,Depression,Pain,Lack of Appetite,Nausea,width:100%,width:88%,width:61%,width:45%,width:38%,Sour Grape,Dry Mouth,Dry Eyes,Dizzy,Paranoid,Headache,width:100%,width:64%,width:21%,width:6%,width:4%,191,4.3,Hybrid
Relaxed,Energetic,Happy,Uplifted,Euphoric,width:100%,width:97%,width:85%,width:79%,width:73%,1. Citrus,2. Earthy,3. Diesel,Shz,Stress,Pain,Fatigue,Lack of Appetite,Muscle Spasms,width:100%,width:69%,width:69%,width:62%,width:60%,Sour Haze,Anxious,Dry Mouth,Dry Eyes,Paranoid,Dizzy,width:100%,width:89%,width:27%,width:27%,width:23%,68,4.4,Sativa
Relaxed,Happy,Uplifted,Talkative,Euphoric,width:100%,width:83%,width:71%,width:43%,width:36%,1. Diesel,2. Pungent,3. Citrus,Srh,Depression,Stress,Headaches,Fatigue,Inflammation,width:100%,width:71%,width:54%,width:19%,width:13%,Sour Headband,Dry Eyes,Anxious,Dry Mouth,Dizzy,Paranoid,width:100%,width:23%,width:23%,width:7%,width:7%,33,4.5,Hybrid
Focused,Energetic,Uplifted,Happy,Euphoric,width:100%,width:79%,width:74%,width:68%,width:62%,1. Citrus,2. Diesel,3. Lemon,Sjk,Depression,Stress,Fatigue,Headaches,Pain,width:100%,width:88%,width:64%,width:50%,width:37%,Sour Jack,Dry Mouth,Dizzy,Paranoid,Dry Eyes,Headache,width:100%,width:28%,width:28%,width:24%,width:20%,182,4.5,Sativa
Happy,Euphoric,Uplifted,Energetic,Creative,width:100%,width:100%,width:87%,width:75%,width:75%,,,,Sj,Stress,Depression,Fatigue,Headaches,Inflammation,width:100%,width:88%,width:77%,width:77%,width:55%,Sour Jilly,Dry Eyes,Headache,Dry Mouth,,,width:100%,width:100%,width:50%,,,21,4.8,Hybrid
Energetic,Happy,Euphoric,Uplifted,Relaxed,width:100%,width:94%,width:93%,width:81%,width:76%,1. Citrus,2. Diesel,3. Sweet,Soj,Stress,Depression,Fatigue,Pain,Inflammation,width:100%,width:69%,width:36%,width:34%,width:26%,Sour Joker,Dry Mouth,Dry Eyes,Anxious,Dizzy,Paranoid,width:100%,width:81%,width:22%,width:12%,width:8%,58,4.7,Sativa
,,,,,,,,,,,,,Sko,,,,,,,,,,,Sour Kosher,,,,,,,,,,,2,4.5,Hybrid
Relaxed,Happy,Euphoric,Uplifted,Creative,width:100%,width:81%,width:68%,width:68%,width:56%,1. Diesel,2. Earthy,3. Pungent,Sk,Stress,Depression,Pain,Headaches,Lack of Appetite,width:100%,width:75%,width:69%,width:36%,width:25%,Sour Kush,Dry Mouth,Dry Eyes,Dizzy,Headache,Paranoid,width:100%,width:50%,width:20%,width:7%,width:3%,581,4.3,Hybrid
Happy,Uplifted,Energetic,Euphoric,Creative,width:100%,width:91%,width:89%,width:89%,width:85%,1. Pungent,2. Skunk,3. Chemical,Sld,Stress,Pain,Lack of Appetite,Depression,Fatigue,width:100%,width:90%,width:88%,width:88%,width:86%,Sour LSD,Headache,Dry Mouth,Anxious,Dizzy,Paranoid,width:100%,width:20%,width:5%,width:5%,width:5%,29,4.2,Hybrid
Relaxed,Creative,Uplifted,Euphoric,Happy,width:100%,width:77%,width:77%,width:67%,width:50%,1. Lemon,2. Citrus,3. Lime,Sog,Fatigue,Depression,Stress,Headaches,Nausea,width:100%,width:84%,width:80%,width:65%,width:55%,Sour Lemon OG,Dry Mouth,Dry Eyes,Paranoid,Anxious,Dizzy,width:100%,width:88%,width:72%,width:8%,width:2%,94,4.6,Hybrid
,,,,,,,,,,,,,Sls,,,,,,,,,,,Sour Lemons,,,,,,,,,,,,,Hybrid
Hungry,Relaxed,,,,width:100%,width:100%,,,,,,,Svr,Depression,Insomnia,Nausea,Pain,Stress,width:100%,width:100%,width:100%,width:100%,width:100%,Sour Lifesavers,Anxious,Headache,Paranoid,,,width:100%,width:100%,width:100%,,,,,Hybrid
Happy,Energetic,Talkative,Relaxed,Focused,width:100%,width:91%,width:86%,width:80%,width:79%,1. Pineapple,2. Citrus,3. Tropical,Sm,Stress,Depression,Fatigue,Lack of Appetite,Pain,width:100%,width:83%,width:72%,width:55%,width:50%,Sour Maui,Dry Eyes,Dry Mouth,Paranoid,Anxious,Dizzy,width:100%,width:98%,width:4%,width:2%,width:1%,49,4.7,Sativa
Relaxed,Happy,Uplifted,Euphoric,Energetic,width:100%,width:86%,width:81%,width:75%,width:56%,1. Earthy,2. Diesel,3. Pungent,Sog,Stress,Depression,Pain,Fatigue,Headaches,width:100%,width:86%,width:82%,width:44%,width:43%,Sour OG,Dry Mouth,Dry Eyes,Paranoid,Anxious,Dizzy,width:100%,width:43%,width:24%,width:17%,width:12%,673,4.4,Hybrid
Energetic,Uplifted,Focused,Creative,Relaxed,width:100%,width:92%,width:80%,width:73%,width:52%,1. Citrus,2. Sweet,3. Strawberry,Sks,Stress,Depression,Fatigue,Pain,Spasticity,width:100%,width:85%,width:28%,width:23%,width:23%,Sour Patch Kiss,Dry Eyes,Anxious,Dry Mouth,Dizzy,Headache,width:100%,width:74%,width:72%,width:13%,width:4%,33,4.7,Hybrid
Happy,Energetic,Euphoric,Focused,Uplifted,width:100%,width:95%,width:76%,width:71%,width:67%,1. Berry,2. Sweet,3. Earthy,Sps,Depression,Stress,Fatigue,Pain,Headaches,width:100%,width:98%,width:82%,width:19%,width:5%,Sour Pebbles,Dry Mouth,Dry Eyes,,,,width:100%,width:3%,,,,35,4.7,Sativa
Uplifted,Relaxed,Energetic,Happy,Hungry,width:100%,width:96%,width:96%,width:93%,width:90%,1. Citrus,2. Diesel,3. Grapefruit,Spo,Depression,Stress,Lack of Appetite,Pain,Insomnia,width:100%,width:100%,width:51%,width:51%,width:48%,Sour Poison,Dry Mouth,Dry Eyes,Anxious,,,width:100%,width:96%,width:92%,,,21,4.6,Sativa
Happy,Relaxed,Energetic,Creative,Euphoric,width:100%,width:98%,width:96%,width:84%,width:83%,1. Earthy,2. Citrus,3. Sweet,Sp,Stress,Depression,Fatigue,Pain,Headaches,width:100%,width:74%,width:71%,width:70%,width:64%,Sour Power,Dry Eyes,Dry Mouth,Dizzy,Anxious,Paranoid,width:100%,width:84%,width:42%,width:2%,width:2%,45,4.7,Hybrid
Relaxed,Aroused,Focused,Sleepy,Tingly,width:100%,width:53%,width:46%,width:46%,width:46%,1. Earthy,2. Lemon,3. Ammonia,Spo,Stress,Insomnia,Depression,Pain,Muscle Spasms,width:100%,width:87%,width:75%,width:75%,width:12%,Sour Power OG,Dry Eyes,Dry Mouth,Anxious,Paranoid,,width:100%,width:100%,width:14%,width:14%,,7,4.1,Hybrid
,,,,,,,,,,,,,Sre,,,,,,,,,,,Sour Sorbet,,,,,,,,,,,1,5.0,Hybrid
Happy,Relaxed,Uplifted,Aroused,Euphoric,width:100%,width:100%,width:100%,width:50%,width:50%,1. Citrus,2. Diesel,3. Earthy,Ssy,Insomnia,Depression,Eye Pressure,Inflammation,Pain,width:100%,width:50%,width:50%,width:50%,width:50%,Sour Space Candy,,,,,,,,,,,4,5.0,Hybrid
Euphoric,Relaxed,Uplifted,Focused,Happy,width:100%,width:97%,width:66%,width:62%,width:37%,,,,Ssp,Pain,Stress,Insomnia,Muscle Spasms,Depression,width:100%,width:100%,width:93%,width:93%,width:6%,Sour Spyder,Dry Mouth,Anxious,,,,width:100%,width:50%,,,,4,5.0,Indica
Happy,Energetic,Euphoric,Talkative,Uplifted,width:100%,width:81%,width:81%,width:81%,width:54%,1. Sweet,2. Citrus,3. Tropical,Sth,Eye Pressure,Depression,Inflammation,Lack of Appetite,Spasticity,width:100%,width:50%,width:50%,width:50%,width:50%,Sour Star Head,Dry Mouth,Dry Eyes,,,,width:100%,width:33%,,,,5,4.2,Sativa
Uplifted,Euphoric,Creative,Focused,Talkative,width:100%,width:100%,width:66%,width:66%,width:66%,,,,Sby,Depression,Insomnia,Pain,Stress,Eye Pressure,width:100%,width:100%,width:100%,width:100%,width:50%,Sour Strawberry,Anxious,Dry Eyes,Dry Mouth,Paranoid,,width:100%,width:100%,width:100%,width:100%,,3,4.0,Hybrid
Happy,Relaxed,Euphoric,Aroused,Uplifted,width:100%,width:97%,width:94%,width:90%,width:58%,1. Strawberry,2. Diesel,3. Sweet,Sds,Fatigue,Stress,Depression,Eye Pressure,Pain,width:100%,width:64%,width:61%,width:56%,width:5%,Sour Strawberry Diesel,Dry Mouth,Dry Eyes,Anxious,Dizzy,Paranoid,width:100%,width:4%,width:3%,width:2%,width:2%,59,4.5,Hybrid
Happy,Relaxed,Euphoric,Uplifted,Focused,width:100%,width:90%,width:89%,width:51%,width:48%,1. Sweet,2. Berry,3. Grapefruit,Srs,Stress,Depression,Nausea,Headaches,Insomnia,width:100%,width:100%,width:86%,width:42%,width:38%,Sour Sunset,Dry Mouth,Dry Eyes,Anxious,Dizzy,Headache,width:100%,width:57%,width:7%,width:7%,width:7%,45,4.7,Hybrid
Happy,Uplifted,Energetic,Euphoric,Relaxed,width:100%,width:96%,width:80%,width:74%,width:74%,1. Citrus,2. Orange,3. Diesel,Stg,Stress,Depression,Pain,Fatigue,Headaches,width:100%,width:86%,width:59%,width:58%,width:28%,Sour Tangie,Dry Mouth,Dry Eyes,Anxious,Dizzy,Headache,width:100%,width:63%,width:23%,width:22%,width:16%,522,4.6,Sativa
Relaxed,Focused,Happy,Uplifted,Energetic,width:100%,width:51%,width:50%,width:41%,width:27%,1. Citrus,2. Diesel,3. Earthy,Sts,Stress,Pain,Depression,Muscle Spasms,Inflammation,width:100%,width:85%,width:72%,width:42%,width:27%,Sour Tsunami,Dry Mouth,Dry Eyes,Headache,Anxious,Dizzy,width:100%,width:33%,width:24%,width:22%,width:1%,233,4.4,Hybrid
Euphoric,Relaxed,Happy,Uplifted,Creative,width:100%,width:56%,width:53%,width:51%,width:51%,1. Citrus,2. Berry,3. Diesel,Sur,Pain,Stress,Depression,Fatigue,Inflammation,width:100%,width:9%,width:9%,width:5%,width:4%,Sour Urkle,Dry Mouth,Anxious,Paranoid,Dry Eyes,Dizzy,width:100%,width:68%,width:65%,width:17%,width:3%,57,4.5,Hybrid
Uplifted,Relaxed,Happy,Euphoric,Energetic,width:100%,width:95%,width:21%,width:18%,width:18%,1. Pungent,2. Citrus,3. Sweet,Srw,Depression,Stress,Lack of Appetite,Pain,Nausea,width:100%,width:92%,width:92%,width:92%,width:69%,Sour Willie,Dry Mouth,Dry Eyes,Headache,Anxious,Dizzy,width:100%,width:20%,width:8%,width:5%,width:2%,41,4.5,Sativa
Happy,Focused,Energetic,Uplifted,Talkative,width:100%,width:99%,width:98%,width:98%,width:96%,1. Sweet,2. Tropical,3. Pungent,Slp,Stress,Fatigue,Muscle Spasms,Depression,Pain,width:100%,width:97%,width:95%,width:4%,width:3%,Sourlope,Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious,width:100%,width:75%,width:75%,width:50%,width:25%,27,4.6,Sativa
Happy,Hungry,Sleepy,Euphoric,Energetic,width:100%,width:96%,width:93%,width:65%,width:38%,,,,Sam,Nausea,Eye Pressure,Stress,Pain,Lack of Appetite,width:100%,width:98%,width:51%,width:50%,width:50%,South American,Dry Eyes,Dry Mouth,Dizzy,Paranoid,Anxious,width:100%,width:98%,width:67%,width:65%,width:64%,27,4.1,Sativa
Euphoric,Giggly,Happy,Hungry,Relaxed,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Sai,Stress,Pain,Headaches,Inflammation,Insomnia,width:100%,width:100%,width:50%,width:50%,width:50%,South Asian Indica,Dry Eyes,Dry Mouth,,,,width:100%,width:100%,,,,4,4.3,Indica
Energetic,Euphoric,Giggly,Happy,,width:100%,width:100%,width:100%,width:100%,,,,,Sas,,,,,,,,,,,South Asian Sativa,,,,,,,,,,,2,5.0,Sativa
Euphoric,Focused,Hungry,Relaxed,Uplifted,width:100%,width:100%,width:100%,width:100%,width:100%,,,,Sla,Depression,Stress,,,,width:100%,width:100%,,,,South Central LA,Dry Mouth,Dry Eyes,Paranoid,,,width:100%,width:66%,width:33%,,,6,4.8,Indica
,,,,,,,,,,,,,Sii,,,,,,,,,,,South Indian Indica,,,,,,,,,,,5,3.8,Indica
