Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_Level_1,Effect_Level_2,Effect_Level_3,Effect_Level_4,Effect_Level_5,Flavor_1,Flavor_2,Flavor_3,Leafly_Name,Medicinal_1,Medicinal_2,Medicinal_3,Medicinal_4,Medicinal_5,Medicinal_Level_1,Medicinal_Level_2,Medicinal_Level_3,Medicinal_Level_4,Medicinal_Level_5,Name,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Negative_Level_1,Negative_Level_2,Negative_Level_3,Negative_Level_4,Negative_Level_5,Number_of_Reviews,Rating,Type
Happy,Uplifted,Creative,Euphoric,Energetic,width:100%,width:87%,width:68%,width:65%,width:65%,1. Earthy,2. Woody,3. Sweet,Aca,Stress,Depression,Fatigue,Pain,Headaches,width:100%,width:91%,width:63%,width:56%,width:33%,Acapulco Gold,Dry Mouth,Dry Eyes,Anxious,Paranoid,Dizzy,width:100%,width:44%,width:29%,width:28%,width:14%,600,4.5,Sativa
Relaxed,Euphoric,Sleepy,Hungry,Happy,width:100%,width:97%,width:85%,width:79%,width:74%,1. Earthy,2. Diesel,3. Pine,Ako,Stress,Pain,Insomnia,Depression,Lack of Appetite,width:100%,width:100%,width:88%,width:85%,width:84%,Ace Killer OG,Dizzy,Dry Mouth,,,,width:100%,width:100%,,,,39,4.8,Indica
Relaxed,Euphoric,Happy,Sleepy,Uplifted,width:100%,width:76%,width:75%,width:66%,width:61%,1. Earthy,2. Pine,3. Woody,Ace,Pain,Depression,Stress,Fatigue,Insomnia,width:100%,width:99%,width:98%,width:85%,width:74%,Ace of Spades,Dry Mouth,Dry Eyes,Dizzy,Anxious,Headache,width:100%,width:80%,width:38%,width:19%,width:7%,323,4.1,Indica
Creative,Relaxed,Focused,Euphoric,Energetic,width:100%,width:100%,width:93%,width:57%,width:55%,,,,Ach,Insomnia,Pain,Depression,Stress,Headaches,width:100%,width:57%,width:54%,width:53%,width:50%,Aceh,Dry Mouth,Dizzy,Dry Eyes,,,width:100%,width:13%,width:0%,,,38,4.5,Sativa
Creative,Happy,Energetic,Relaxed,Focused,width:100%,width:88%,width:84%,width:81%,width:79%,1. Citrus,2. Earthy,3. Pungent,Aci,Stress,Depression,Nausea,Pain,Insomnia,width:100%,width:94%,width:86%,width:84%,width:84%,Acid,Dry Eyes,Dry Mouth,Dizzy,Anxious,Headache,width:100%,width:100%,width:37%,width:32%,width:5%,34,4.4,Hybrid
Happy,Talkative,Creative,Uplifted,Energetic,width:100%,width:96%,width:96%,width:93%,width:55%,1. Citrus,2. Flowery,3. Earthy,Ado,Depression,Fatigue,Lack of Appetite,Stress,Insomnia,width:100%,width:100%,width:100%,width:28%,width:16%,Acid Dough,Dry Eyes,Dry Mouth,Paranoid,,,width:100%,width:13%,width:6%,,,7,4.4,Sativa
Relaxed,Creative,Uplifted,Focused,Energetic,width:100%,width:100%,width:96%,width:96%,width:95%,1. Sage,2. Earthy,3. Flowery,Acr,Depression,Fatigue,Headaches,Lack of Appetite,Stress,width:100%,width:98%,width:98%,width:94%,width:6%,Afcrack,Dry Mouth,Anxious,Dry Eyes,Paranoid,,width:100%,width:98%,width:1%,width:1%,,11,3.6,Hybrid
Happy,Focused,Euphoric,Uplifted,Creative,width:100%,width:92%,width:91%,width:86%,width:84%,1. Vanilla,2. Earthy,3. Pungent,Abb,Pain,Stress,Insomnia,Nausea,Depression,width:100%,width:92%,width:53%,width:53%,width:38%,Afghan Big Bud,Anxious,Dry Mouth,Dry Eyes,Paranoid,,width:100%,width:54%,width:27%,width:6%,,26,4.0,Indica
Focused,Happy,Euphoric,Creative,Energetic,width:100%,width:85%,width:85%,width:78%,width:71%,1. Sweet,2. Vanilla,3. Diesel,Afc,Fatigue,Stress,Depression,Inflammation,Lack of Appetite,width:100%,width:100%,width:66%,width:66%,width:66%,Afghan Cow,Dry Mouth,Anxious,Dizzy,Dry Eyes,Headache,width:100%,width:50%,width:50%,width:50%,width:50%,9,4.3,Sativa
Euphoric,Happy,Uplifted,Relaxed,Creative,width:100%,width:93%,width:93%,width:90%,width:81%,1. Earthy,2. Flowery,3. Grapefruit,Ad,Stress,Pain,Insomnia,Depression,Lack of Appetite,width:100%,width:89%,width:69%,width:66%,width:53%,Afghan Diesel,Dry Mouth,Dry Eyes,Paranoid,Dizzy,Anxious,width:100%,width:88%,width:73%,width:73%,width:71%,43,3.8,Hybrid
